URL,Title
https://www.si.com/mlb/2017/11/08/roy-halladay-death-plane-crash-hall-fame,Examining Roy Halladay's JAWS Hall of Fame Case
https://www.si.com/mlb/2018/01/08/lorenzo-cain-free-agency-value,What Is Lorenzo Cain Really Worth? More Than You May Think
https://www.si.com/mlb/2018/01/04/eric-hosmer-free-agency-kansas-city-royals-san-diego-padres,What Is Eric Hosmer Really Worth?
https://www.si.com/mlb/2017/12/26/chris-carpenter-livan-hernandez-hall-fame-ballot-2018,JAWS and the 2018 Hall of Fame Ballot: One-and-Dones Pt. 1: Remembering the Careers of Chris Carpenter, Livan Hernandez and More
https://www.si.com/mlb/2017/12/27/jamie-moyer-kerry-wood-carlos-zambrano-hall-fame-2018,JAWS and the 2018 Hall of Fame Ballot: One-and-Dones Pt. 2: A Look Back at the Best Times of Kerry Wood, Jamie Moyer and More
https://www.si.com/mlb/2017/12/28/johnny-damon-hideki-matsui-hall-fame-ballot-2018,JAWS and the 2018 Hall of Fame Ballot: One-and-Dones Pt. 3: Johnny Damon, Hideki Matsui Were Popular, but not Hall of Famers
https://blogs.fangraphs.com/jaws-and-the-2019-hall-of-fame-ballot-mike-mussina/,Mike Mussina
https://blogs.fangraphs.com/jaws-and-the-2019-hall-of-fame-ballot-larry-walker/,Larry Walker
https://blogs.fangraphs.com/jaws-and-the-2019-hall-of-fame-ballot-roy-oswalt/,Roy Oswalt
https://blogs.fangraphs.com/jaws-and-the-2019-hall-of-fame-ballot-one-and-dones-part-1/,JAWS and the 2019 Hall of Fame Ballot: One-and-Dones, Part 1
https://blogs.fangraphs.com/jaws-and-the-2019-hall-of-fame-ballot-one-and-dones-part-2/,JAWS and the 2019 Hall of Fame Ballot: One-and-Dones, Part 2
https://blogs.fangraphs.com/jaws-and-the-2019-hall-of-fame-ballot-one-and-dones-part-3/,JAWS and the 2019 Hall of Fame Ballot: One-and-Dones, Part 3
https://blogs.fangraphs.com/jaws-and-the-2019-hall-of-fame-ballot-one-and-dones-part-4/,JAWS and the 2019 Hall of Fame Ballot: One-and-Dones, Part 4
https://blogs.fangraphs.com/jaws-and-the-2021-hall-of-fame-ballot-andy-pettitte/,Andy Pettitte
https://blogs.fangraphs.com/jaws-and-the-2021-hall-of-fame-ballot-tim-hudson/,Tim Hudson
https://blogs.fangraphs.com/jaws-and-the-2021-hall-of-fame-ballot-sammy-sosa/,Sammy Sosa
https://blogs.fangraphs.com/jaws-and-the-2021-hall-of-fame-ballot-jeff-kent/,Jeff Kent
https://blogs.fangraphs.com/jaws-and-the-2021-hall-of-fame-ballot-barry-bonds/,Barry Bonds
https://blogs.fangraphs.com/jaws-and-the-2021-hall-of-fame-ballot-roger-clemens/,Roger Clemens
https://blogs.fangraphs.com/jaws-and-the-2022-hall-of-fame-ballot-tim-lincecum/,Tim Lincecum
https://blogs.fangraphs.com/jaws-and-the-2022-hall-of-fame-ballot-ryan-howard/,Ryan Howard
https://blogs.fangraphs.com/jaws-and-the-2022-hall-of-fame-ballot-prince-fielder/,Prince Fielder
https://blogs.fangraphs.com/2023-contemporary-baseball-era-committee-candidate-fred-mcgriff/,Fred McGriff
https://blogs.fangraphs.com/2023-contemporary-baseball-era-committee-candidate-rafael-palmeiro/,Rafael Palmeiro
https://blogs.fangraphs.com/2023-contemporary-baseball-era-committee-candidate-albert-belle/,Albert Belle
https://blogs.fangraphs.com/2023-contemporary-baseball-era-committee-candidate-don-mattingly/,Don Mattingly
https://blogs.fangraphs.com/jaws-and-the-2023-hall-of-fame-ballot-omar-vizquel/,Omar Vizquel
https://blogs.fangraphs.com/jaws-and-the-2024-hall-of-fame-ballot-bobby-abreu/,Bobby Abreu
https://blogs.fangraphs.com/jaws-and-the-2023-hall-of-fame-ballot-john-lackey/,John Lackey
https://blogs.fangraphs.com/jaws-and-the-2024-hall-of-fame-ballot-jose-reyes/,Jose Reyes
https://blogs.fangraphs.com/jaws-and-the-2024-hall-of-fame-ballot-jose-bautista,Jose Bautista
https://blogs.fangraphs.com/jaws-and-the-2024-hall-of-fame-ballot-james-shields,James Shields
https://blogs.fangraphs.com/jaws-and-the-2024-hall-of-fame-ballot-bartolo-colon,Bartolo Colon
https://blogs.fangraphs.com/the-retiring-corey-kluber-and-the-rolling-war-revue/,The Retiring Corey Kluber and the Rolling WAR Revue
https://blogs.fangraphs.com/2025-classic-baseball-era-committee-candidate-steve-garvey/,Steve Garvey
https://blogs.fangraphs.com/2025-classic-baseball-era-committee-candidate-dick-allen/,Dick Allen
https://blogs.fangraphs.com/2025-classic-baseball-era-committee-candidate-tommy-john/,Tommy John
https://blogs.fangraphs.com/2025-classic-baseball-era-committee-candidate-dave-parker/,Dave Parker
https://blogs.fangraphs.com/jaws-and-the-2025-hall-of-fame-ballot-billy-wagner/,Billy Wagner
https://blogs.fangraphs.com/jaws-and-the-2025-hall-of-fame-ballot-ichiro-suzuki/, ichiro
https://blogs.fangraphs.com/jaws-and-the-2025-hall-of-fame-ballot-carlos-beltran/, Carlos Beltran