file-path,title,author,filename
/Users/muneer78/Downloads/Student-Loan Debt Is Strangling Gen X.md,"Student-Loan Debt Is Strangling Gen X","Adedoyin","student-loan-debt-gen-x"
/Users/muneer78/Downloads/Stocks for the Long Run - Bloomberg.md,"Stocks for the Long Run","Levine","stocks-for-the-long-run"
/Users/muneer78/Downloads/pokemon.md,'Pokémon Fans Suspected Fake Cards, One Found the Clue to Prove It','Howard','pokemon-fake-cards'
/Users/muneer78/Downloads/docs/coates-kirk.md,"Charlie Kirk, Redeemed: A Political Class Finds Its Lost Cause","Coates","charlie-kirk-redeemed"
/Users/muneer78/files/reading/docs/writing-off-my-narcissistic-father.md,"Writing Off My Narcissistic Father","Anon","writing-off-narcissistic-father"
/Users/muneer78/files/reading/docs/what-makes-people-vote-republican.md,"What Makes People Vote Republican?","Anon","what-makes-people-vote-republican"
/Users/muneer78/files/reading/docs/this-is-how-the-nra-ends.md,"This Is How the NRA Ends","Anon","how-the-nra-ends"
/Users/muneer78/files/reading/docs/there-was-a-texas-lottery-arbitrage.md,"There Was a Texas Lottery Arbitrage","Anon","texas-lottery-arbitrage"
/Users/muneer78/files/reading/docs/the-singular-mind-of-terry-tao.md,"The Singular Mind of Terry Tao","Anon","singular-mind-of-terry-tao"
/Users/muneer78/files/reading/docs/turn-fandom-into-sharp-wagers.md,"Turn Fandom Into Sharp Wagers","Anon","turn-fandom-into-sharp-wagers"
/Users/muneer78/files/reading/docs/the-secrets-of-house-edge.md,"The Secrets of House Edge","Anon","secrets-of-house-edge"
/Users/muneer78/files/reading/docs/the-science-of-winning-brackets.md,"The Science of Winning Brackets","Anon","science-of-winning-brackets"
/Users/muneer78/files/reading/docs/robinhood-wanted-bts-on-the-bg-gme.md,"Robinhood Wanted BTS on the BG GME","Anon","robinhood-wanted-bts-bg-gme"
/Users/muneer78/files/reading/docs/monster-&-careerbuilder-when-job-sites-were-weird.md,"Monster & CareerBuilder: When Job Sites Were Weird","Anon","monster-careerbuilder-job-sites-weird"
/Users/muneer78/files/reading/docs/in-a-new-era-for-the-royals-salvador-perez-remains-the-one-constant.md,"In a New Era for the Royals, Salvador Perez Remains the One Constant","Anon","salvador-perez-royals"
/Users/muneer78/files/reading/docs/i-placed-my-first-wager-when-i-was-10.-ive-gambled-more-than-$1-million-since.md,"I Placed My First Wager When I Was 10. I've Gambled More Than $1 Million Since.","Anon","first-wager-age-10"
/Users/muneer78/files/reading/docs/how-field-notes-went-from-side-project-to-cult-notebook-fast-company.md,"How Field Notes Went From Side Project to Cult Notebook: Fast Company","Anon","field-notes-cult-notebook"
/Users/muneer78/files/reading/docs/how-did-marcel-malanga-tyler-thompson-join-a-coup-in-congo.md,"How Did Marcel Malanga & Tyler Thompson Join a Coup in Congo?","Anon","marcel-malanga-tyler-thompson-congo-coup"
/Users/muneer78/files/reading/docs/he-announced-his-intention-to-die-the-dinner-invitations-rolled-in.md,"He Announced His Intention to Die. The Dinner Invitations Rolled In.","Anon","intention-to-die-dinner-invitations"
/Users/muneer78/files/reading/docs/college-football-has-a-big-problem.md,"College Football Has a Big Problem","Anon","college-football-big-problem"
/Users/muneer78/files/reading/docs/child-abuse-the-emotional-side-.md,"Child Abuse: The Emotional Side","Anon","child-abuse-emotional-side"
/Users/muneer78/files/reading/docs/6-things-emotionally-neglected-adults-think-they-need-psychology-today.md,"6 Things Emotionally Neglected Adults Think They Need","Anon","emotionally-neglected-adults-think-they-need"
/Users/muneer78/files/reading/docs/5-triggers-for-adults-who-experienced-childhood-emotional-neglect-psychology-today.md,"5 Triggers for Adults Who Experienced Childhood Emotional Neglect","Anon","triggers-for-adults-childhood-emotional-neglect"